Delay,FPS,Latency (Regs),Latency (Coils),Detected,Probability,Blue (Pred),Green (Pred),Red (Pred),Blue (True),Green (True),Red (True)
1.865,2.682,9.3e-05,0.000158,1.0,0.605,205.0,172.0,73.0,205.0,172.0,73.0
1.921,2.643,6.8e-05,9.8e-05,1.0,0.574,205.0,172.0,73.0,205.0,172.0,73.0
1.894,2.657,7.1e-05,9.4e-05,1.0,0.531,205.0,172.0,73.0,205.0,172.0,73.0
1.507,2.67,6.8e-05,0.00013,1.0,0.605,205.0,172.0,73.0,205.0,172.0,73.0
1.503,2.676,6.8e-05,9.8e-05,1.0,0.574,205.0,172.0,73.0,205.0,172.0,73.0
1.499,2.687,7.1e-05,0.000112,1.0,0.543,205.0,172.0,73.0,205.0,172.0,73.0
1.497,2.674,7.6e-05,0.000114,1.0,0.562,205.0,172.0,73.0,205.0,172.0,73.0
1.497,2.684,7e-05,9.9e-05,1.0,0.582,205.0,172.0,73.0,205.0,172.0,73.0
1.874,2.679,6.7e-05,9.4e-05,1.0,0.48,205.0,172.0,73.0,205.0,172.0,73.0
1.878,2.682,0.00012,0.000149,1.0,0.449,205.0,172.0,73.0,205.0,172.0,73.0
