Delay,FPS,Latency (Regs),Latency (Coils),Detected,Probability,Height (Pred),Width (Pred),Size (Pred),Height (True),Width (True),Size (True)
1.855,2.699,9e-05,0.000172,1.0,0.449,6.532,3.522,23.006,6.0,4.0,24.0
1.872,2.66,7e-05,9.6e-05,1.0,0.43,6.628,3.586,23.768,6.0,4.0,24.0
0.0,2.698,7.3e-05,9.4e-05,0.0,0.0,0.0,0.0,0.0,6.0,4.0,24.0
1.86,2.684,7e-05,9.8e-05,1.0,0.48,6.628,3.618,23.98,6.0,4.0,24.0
1.863,2.689,7.2e-05,0.0001,1.0,0.512,6.468,3.618,23.401,6.0,4.0,24.0
1.487,2.687,7.2e-05,9.9e-05,1.0,0.43,3.714,3.522,13.081,6.0,4.0,24.0
1.858,2.701,7.1e-05,9.9e-05,1.0,0.441,6.628,3.682,24.404,6.0,4.0,24.0
2.598,2.69,7e-05,9.8e-05,1.0,0.43,6.692,3.522,23.569,6.0,4.0,24.0
3.02,2.653,7.1e-05,9.8e-05,1.0,0.449,5.443,3.522,19.17,6.0,4.0,24.0
0.0,2.646,6.9e-05,9.9e-05,0.0,0.0,0.0,0.0,0.0,6.0,4.0,24.0
